Country,Migration
Australia,137465	
Austria,121311
Belgium,101553	
Canada,184585	
Chile,154551	
CzechRepublic,53795	
Denmark,37810	
Estonia,10309	
Finland,23260	
France,200495	
Germany,994819	
Greece,63357	
Hungary,43785	
Iceland,7711	
Ireland,56500	
Israel,19676	
Italy,191766	
Japan,220612	
Korea,233133	
Latvia,4560	
Luxembourg,20970	
Mexico,58430	
Netherlands,170612	
NewZealand,53716	
Norway,30818	
Poland,163512	
Portugal,118124	
SlovakRepublic,2834	
Slovenia,24750	
Spain,415150	
Sweden,65789	
Switzerland,136962	
TÃ¼rkiye,	
UnitedKingdom,	
UnitedStates,707362	